code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
000717,韶钢松山,10.123,4.46,4.16,4.46,4.14,4.05,71772630.0,4.29899,318244794.0,-7.825,9.24,1079107.88686,744607.88686
000780,平庄能源,10.099,5.56,5.56,5.56,5.36,5.05,76057208.0,7.49845,421333704.0,185.333,1.248,563954.316144,563954.316144
601908,京运通,10.065,6.78,6.25,6.78,6.22,6.16,29378652.0,1.70852,191774721.0,52.154,2.961,1351266.001278,1165848.488832
601101,昊华能源,10.062,7.11,6.88,7.11,6.75,6.46,38707543.0,3.22563,272395864.0,47.4,1.252,853198.771392,853198.771392
600658,电子城,10.055,9.96,9.49,9.96,9.49,9.05,5080666.0,0.8758300000000001,50283175.0,11.581,1.888,577777.012392,577777.012392
000795,太原刚玉,10.042,13.04,12.02,13.04,11.61,11.85,36289903.0,11.11836,453789965.0,326.0,4.833,579610.740256,425620.603072
600165,新日恒力,10.036,15.46,14.37,15.46,14.01,14.05,53014699.0,10.93349,775801814.0,-39.239,4.711,1058830.31615,749630.31615
600843,上工申贝,10.035,12.72,11.75,12.72,11.35,11.56,7545261.0,2.47673,91402238.0,33.704,4.006,697805.9712,387509.5212
300141,和顺电气,10.026,21.29,19.75,21.29,19.36,19.35,11522017.0,10.84811,236772261.0,68.413,5.183,355471.4656,226125.718446
300317,珈伟股份,10.023,23.93,21.5,23.93,20.8,21.75,9204172.0,5.49688,204178927.0,409.76,2.749,918101.63448,400692.522835
600778,友好集团,10.022,10.21,9.33,10.21,9.21,9.28,24358234.0,7.83005,239179405.0,34.61,1.9500000000000002,318032.670392,317619.532952
002119,康强电子,10.02,21.85,20.15,21.85,19.9,19.86,18902351.0,9.73345,401520659.0,2185.0,6.798,450547.0,424327.0
002679,福建金森,10.02,21.85,19.94,21.85,19.0,19.86,6534612.0,4.71201,132587610.0,64.265,4.303,303015.8,303015.8
600876,洛阳玻璃,10.018,30.86,27.5,30.86,27.0,28.05,28872636.0,11.548210000000001,852104684.0,964.375,-177.663,1589346.294812,771556.294812
002416,爱施德,10.017,13.18,12.49,13.18,12.2,11.98,14961794.0,1.54311,193294056.0,454.483,2.96,1323120.217802,1277919.58705
603866,桃李面包,10.015,36.69,34.08,36.69,33.52,33.35,16471059.0,36.59211,589926397.0,54.761,12.319,1651512.294,165151.2294
002066,瑞泰科技,10.015,15.05,13.9,15.05,13.71,13.68,17833286.0,7.72004,256470538.0,518.966,7.992,347655.0,347655.0
002189,利达光电,10.015,22.74,21.21,22.74,20.8,20.67,15220601.0,7.66683,335618290.0,324.857,8.717,453071.76,451446.93015
002518,科士达,10.015,28.89,26.7,28.89,26.36,26.26,8695928.0,3.0893100000000002,240466521.0,56.647,5.194,857844.29052,813209.549643
603936,博敏电子,10.01,42.53,39.55,42.53,38.7,38.66,16952545.0,40.50787,704532448.0,75.009,9.536,711739.55,177988.05
000851,高鸿股份,10.01,11.43,10.71,11.43,10.5,10.39,65868565.0,13.50288,733822423.0,109.378,2.6,675929.34918,557568.322758
603025,大豪科技,10.009,35.5,34.8,35.5,32.8,32.27,11581890.0,22.70959,401285870.0,64.545,11.175,1586850.0,181050.0
002502,骅威股份,10.007,31.44,29.32,31.44,28.75,28.58,25647609.0,13.95902,786929879.0,262.0,6.277,1351650.989928,577662.96576
603996,中新科技,10.003,34.31,32.01,34.31,32.0,31.19,10236389.0,20.43191,344638526.0,50.456,6.319,686543.1,171893.1
000048,康达尔,10.003,41.35,37.81,41.35,36.49,37.59,17120091.0,4.43447,686512520.0,142.586,23.862,1615828.454585,1596392.5859
300447,全信股份,10.003,82.15,75.88,82.15,75.11,74.68,2237542.0,11.04959,178371806.0,101.332,12.264,665415.0,166353.75
600207,安彩高科,10.0,10.67,9.99,10.67,9.91,9.7,12965811.0,2.94678,135905493.0,-27.275,8.839,736230.0,469480.0
000591,桐 君 阁,10.0,17.82,16.5,17.82,15.72,16.2,6300408.0,2.29414,106638883.0,1263.83,12.383,489392.411706,489392.411706
002180,艾派克,10.0,38.72,35.21,38.72,35.21,35.2,4516573.0,4.17464,169861643.0,65.627,11.752,2203746.871744,418914.81632
