代码,名字,行业,地区,市盈率,流通股本,总股本(万),总资产(万),流动资产,固定资产,公积金,每股公积金,每股收益,每股净资,市净率,上市日期,平均利润
1,平安银行,银行,深圳,7.51,1180405.5,1430867.63,259906000.0,0.0,440600.0,5932600.0,4.15,1.27,10.98,1.13,19910403,1759100.0
2,万  科Ａ,全国地产,深圳,29.5,970678.75,1103713.0,57079348.0,52000132.0,404016.41,834236.94,0.76,0.621,8.05,3.04,19910129,1257282.0
4,国农科技,生物制药,深圳,1310.21,8387.54,8397.66,35863.95,28597.28,3792.01,66.45,0.01,0.028,0.99,50.18,19910114,171.66666666666666
5,世纪星源,区域地产,深圳,0.0,91374.29,91433.35,133658.91,22092.81,2413.78,26976.98,0.3,-0.033,0.7,14.82,19901210,-967.3333333333334
6,深振业Ａ,区域地产,深圳,44.11,134148.73,134999.5,1238693.25,1015396.63,362.29,48432.15,0.36,0.205,3.15,3.83,19920427,49364.666666666664
7,零七股份,酒店餐饮,深圳,0.0,20588.71,23096.53,52680.38,33271.51,7281.37,42324.12,1.83,-0.051,1.48,16.1,19920413,-620.3333333333334
8,神州高铁,综合类,北京,225.57,64072.8,240943.3,335976.16,146185.02,41418.96,31871.68,0.13,0.04,1.17,10.23,19920507,4211.333333333333
9,中国宝安,全国地产,深圳,32.95,148966.91,159210.73,1666130.63,1162050.25,168927.72,52228.1,0.33,0.4270000000000001,2.81,6.68,19910625,42519.0
10,深华新,建筑施工,北京,2030.2,40792.98,70561.31,190286.31,55589.3,4303.23,12939.0,0.18,0.004,0.93,11.36,19951027,-2288.0
11,深物业A,区域地产,深圳,145.87,17586.25,59597.91,400862.5,331030.88,6805.2,11995.15,0.2,0.078,3.33,4.55,19920330,25493.333333333332
12,南  玻Ａ,玻璃,深圳,57.75,130255.21,207533.56,1523499.25,187160.81,1008278.81,126103.92,0.61,0.19,3.71,3.94,19920228,93455.0
14,沙河股份,全国地产,深圳,0.0,20170.51,20170.51,214251.55,194648.3,2105.12,996.57,0.05,-0.005,3.28,7.2,19920602,2951.3333333333335
16,深康佳Ａ,家用电器,深圳,0.0,119982.99,240794.55,1641428.75,1282983.25,173618.17,8790.45,0.04,-0.354,1.34,5.42,19920327,-25147.666666666668
17,深中华A,文教休闲,深圳,11503.92,30297.88,55134.78,6806.66,6305.91,104.21,62783.42,1.14,0.001,0.02,663.4,19920331,52688.333333333336
18,神州长城,装修装饰,深圳,64.75,9972.04,44690.66,379740.38,364503.63,3756.59,-255.16,-0.01,1.43,7.35,6.37,19920616,8501.0
19,深深宝Ａ,软饮料,深圳,0.0,25225.24,30108.01,109559.8,48753.5,38168.51,51818.64,1.72,-0.027000000000000003,3.2,5.63,19921012,1625.0
20,深华发Ａ,元器件,深圳,339.36,6467.54,28316.11,116593.7,88803.43,19114.53,10949.67,0.39,0.071,1.06,30.02,19920428,705.3333333333334
21,深科技,电脑设备,深圳,98.21,146981.44,147125.94,1485107.5,1107940.75,179379.5,66241.71,0.45,0.095,3.46,3.61,19940202,18198.0
22,深赤湾Ａ,港口,深圳,23.13,46486.73,64476.37,683380.38,74113.25,317677.69,16340.17,0.25,0.648,6.71,2.98,19930505,44599.666666666664
23,深天地Ａ,建筑施工,深圳,116.62,13875.62,13875.62,153004.02,136763.72,12430.94,10252.63,0.74,0.196,2.77,11.03,19930429,1984.0
24,招商地产,全国地产,深圳,35.26,102641.64,257595.06,18141798.0,16925840.0,178645.23,889971.81,3.45,0.861,12.76,3.17,19930607,356160.0
25,特  力Ａ,汽车服务,深圳,1098.41,17929.46,29728.16,113084.51,39120.0,13773.49,56419.26,1.9,0.07,2.84,32.44,19930621,1198.3333333333333
26,飞亚达Ａ,其他商业,深圳,46.72,31107.0,39276.78,385232.97,282340.94,36442.32,52550.81,1.34,0.271,4.34,3.9,19930603,12744.333333333334
27,深圳能源,火力发电,深圳,19.11,143752.5,396449.16,4631445.0,1360686.0,1504727.13,431470.25,1.09,0.401,5.26,1.94,19930903,169192.33333333334
28,国药一致,医药商业,深圳,31.34,23326.17,36263.19,1429893.75,1241173.0,77500.75,186389.45,5.14,1.5830000000000002,14.52,4.56,19930809,58235.333333333336
29,深深房Ａ,区域地产,深圳,43.65,89166.0,101166.0,452243.41,393329.97,4995.51,97824.49,0.97,0.231,2.24,6.02,19930915,25343.0
30,富奥股份,汽车配件,吉林,25.39,56056.17,129325.14,742379.13,341161.84,131678.27,52338.76,0.4,0.281,3.52,2.7,19930929,51074.666666666664
31,中粮地产,全国地产,深圳,36.95,181372.02,181373.16,5512888.0,4992642.0,57170.55,27988.26,0.15,0.29600000000000004,3.25,4.48,19931008,55660.333333333336
32,深桑达Ａ,元器件,深圳,0.0,23286.32,23286.42,130691.65,79460.9,5725.66,20723.75,0.89,-0.014,3.76,6.91,19931028,903.0
34,深信泰丰,综合类,深圳,283.01,34006.42,35797.35,44538.9,22802.02,5683.41,64072.68,1.79,0.07400000000000001,0.54,52.07,19940509,3492.0
35,中国天楹,环境保护,江苏,58.95,40355.07,61927.89,405635.94,69053.97,71532.99,94385.43,1.52,0.195,2.81,5.45,19940408,47583.333333333336
36,华联控股,全国地产,深圳,0.0,112388.02,114048.77,554060.44,447852.91,28562.15,14372.04,0.13,-0.002,1.67,5.45,19940617,3738.3333333333335
37,深南电Ａ,火力发电,深圳,0.0,33889.51,60276.26,513349.0,315952.75,177719.69,36275.07,0.6,-0.121,1.99,6.95,19940701,-11672.666666666666
38,深大通,区域地产,深圳,3701.24,3773.13,9622.79,68993.46,68107.84,5.09,2234.82,0.23,0.012,1.15,49.35,19940808,-1541.3333333333333
39,中集集团,轻工机械,深圳,26.49,125913.63,269025.03,10299196.0,4785661.5,1913663.75,108938.0,0.4,0.6409999999999999,9.57,2.37,19940408,212757.33333333334
40,宝安地产,全国地产,深圳,168.49,46458.83,46959.33,478157.84,448364.34,6806.12,27375.21,0.58,0.067,2.75,5.48,19940808,6256.666666666667
42,中洲控股,全国地产,深圳,18.77,47878.28,48823.5,2517135.25,2117677.5,17480.75,67530.5,1.38,0.86,7.66,2.76,19940921,37479.666666666664
43,中航地产,全国地产,深圳,0.0,66696.14,66696.14,2255346.25,1652305.13,14168.12,44552.9,0.67,-0.254,4.9,2.51,19940928,26344.666666666668
45,深纺织Ａ,纺织,深圳,945.64,40556.39,50652.17,282360.0,170652.38,77383.88,158513.0,3.13,0.012,4.28,3.59,19940815,-2006.3333333333333
46,泛海控股,全国地产,深圳,37.3,454933.41,455731.19,9763884.0,8413955.0,56870.92,197403.44,0.43,0.259,2.22,5.8,19940912,130736.66666666667
48,康达尔,饲料,深圳,69.86,38606.83,39076.87,201169.77,129174.42,33220.84,4406.85,0.11,0.431,1.73,23.16,19941101,9104.0
49,德赛电池,电气设备,深圳,50.64,20524.36,20524.36,395844.09,357378.09,16379.94,816.93,0.04,0.843,4.26,13.37,19950320,20453.333333333332
50,深天马Ａ,元器件,深圳,54.35,94308.64,113173.84,1720783.38,677721.63,705035.5,696756.06,6.16,0.299,7.41,2.93,19950315,36492.0
